"-45,0",,5.41E+00,6.51E+00,4.74E-01,5.42E-01,9.02E-04,8.62E-04,,Shorthand,AVE ON AXIS,AVE OFF AXIS,P(ON AXIS),ERROR,P(OFF AXIS),ERROR
"-45,0",,5.44E+00,6.53E+00,4.77E-01,5.43E-01,9.02E-04,8.62E-04,,"-45,0",4.78E-01,0.543166667,0.467991511,0.0011976,0.532008489,0.0012485
"-45,0",,5.50E+00,6.55E+00,4.82E-01,5.45E-01,9.02E-04,8.63E-04,,"0,0",0.999736842,0.016055556,0.984194058,0.0019738,0.015805942,0.0007843
"0,0",,1.14E+01,2.04E-01,1.00E+00,1.60E-02,9.81E-04,7.96E-04,,"45,0",0.534239766,0.4840000,0.52466991,0.0012733,0.47533009,0.0011769
"0,0",,1.14E+01,2.06E-01,1.00E+00,1.62E-02,9.81E-04,7.96E-04,,"90,0",0.001552632,0.9990000,0.001551774,0.0008767,0.998448226,0.0020301
"0,0",,1.14E+01,2.04E-01,1.00E+00,1.60E-02,9.81E-04,7.96E-04,,"-45,45",0.000921053,0.9990000,0.000921125,0.0008773,0.999078875,0.0020324
"45,0",,6.09E+00,5.82E+00,5.34E-01,4.84E-01,9.08E-04,8.56E-04,,"0,45",0.464649123,0.5440000,0.460664777,0.0012023,0.539335223,0.0012728
"45,0",,6.10E+00,5.82E+00,5.35E-01,4.84E-01,9.08E-04,8.56E-04,,"45,45",0.982192982,0.018416667,0.981594554,0.0019991,0.018405446,0.0008009
"45,0",,6.09E+00,5.82E+00,5.34E-01,4.84E-01,9.08E-04,8.56E-04,,"90,45",0.505292398,0.482055556,0.511767302,0.0012933,0.488232698,0.0012286
"90,0",,2.01E-02,1.20E+01,1.50E-03,9.99E-01,8.77E-04,9.31E-04,,,,,,,,
"90,0",,2.24E-02,1.20E+01,1.70E-03,9.99E-01,8.77E-04,9.31E-04,,,,,,,,
"90,0",,1.96E-02,1.20E+01,1.46E-03,9.99E-01,8.77E-04,9.31E-04,Background Voltage,,,,,,,
"-45,45",,1.34E-02,1.20E+01,9.12E-04,9.99E-01,8.77E-04,9.31E-04,0.003,0.012,,,,,,
"-45,45",,1.17E-02,1.20E+01,7.63E-04,9.99E-01,8.77E-04,9.31E-04,,,,,,,,
"-45,45",,1.54E-02,1.20E+01,1.09E-03,9.99E-01,8.77E-04,9.31E-04,Error on Each Point,,,,Error on Maximum,Error on Background,,
"0,45",,5.29E+00,6.55E+00,4.64E-01,5.45E-01,9.00E-04,8.63E-04,0.005,,,,0.005,0.005,,
"0,45",,5.31E+00,6.53E+00,4.66E-01,5.43E-01,9.01E-04,8.62E-04,,,,,,,,
"0,45",,5.30E+00,6.54E+00,4.65E-01,5.44E-01,9.01E-04,8.63E-04,On Axis Max,,CH1 P-P,,,,,
"45,45",,1.12E+01,2.35E-01,9.82E-01,1.86E-02,9.77E-04,8.01E-04,11.4,,0.2,,,,,
"45,45",,1.12E+01,2.33E-01,9.82E-01,1.84E-02,9.77E-04,8.01E-04,,,,,,,,
"45,45",,1.12E+01,2.31E-01,9.82E-01,1.83E-02,9.77E-04,8.00E-04,Off Axis Max,,CH2 P-P,,,,,
"90,45",,5.79E+00,5.80E+00,5.08E-01,4.82E-01,9.05E-04,8.56E-04,12,,0.4,,,,,
"90,45",,5.77E+00,5.80E+00,5.06E-01,4.82E-01,9.05E-04,8.56E-04,,,,,,,,
"90,45",,5.73E+00,5.79E+00,5.02E-01,4.82E-01,9.04E-04,8.56E-04,,,Error on Averages,,,,,
,,CH1,CH2,CH1 (Rel),CH2 (Rel),Err CH1 (Rel),Err CH2 (Rel),,,9.02E-04,8.62E-04,,,,
,,,,,,,,,,9.81E-04,7.96E-04,,,,
,,,,,,,,,,9.08E-04,8.56E-04,,,,
,,,,,,,,,,8.77E-04,9.31E-04,,,,
,,,,,,,,,,8.77E-04,9.31E-04,,,,
,,,,,,,,,,9.01E-04,8.63E-04,,,,
,,,,,,,,,,9.77E-04,8.01E-04,,,,
,,,,,,,,,,9.05E-04,8.56E-04,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
